"","data_grid","variable","value","model","gridcell","lat","lon"
"77",3,"et",NA,"GBAF",392,80.5263137817383,52.5
"78",3,"fsa",NA,"CERES",392,80.5263137817383,52.5
"79",3,"gr",NA,"CLASS",392,80.5263137817383,52.5
"80",3,"lai",NA,"AVHRR",392,80.5263137817383,52.5
"81",3,"rn",NA,"CLASS",392,80.5263137817383,52.5
"82",3,"et",NA,"CLASS",392,80.5263137817383,52.5
"83",3,"sh",NA,"GBAF",392,80.5263137817383,52.5
"84",3,"et",NA,"DOLCE",392,80.5263137817383,52.5
"85",3,"rn",NA,"GEWEX",392,80.5263137817383,52.5
"86",3,"gpp",NA,"WECANN",392,80.5263137817383,52.5
"87",3,"fsr",NA,"GEWEX",392,80.5263137817383,52.5
"88",3,"mrro",NA,"CLASS",392,80.5263137817383,52.5
"89",3,"ef",NA,"FLUXCOM",392,80.5263137817383,52.5
"90",3,"gpp",NA,"FLUXCOM",392,80.5263137817383,52.5
"91",3,"rn",NA,"CERES",392,80.5263137817383,52.5
"92",3,"sh",NA,"WECANN",392,80.5263137817383,52.5
"93",3,"et",NA,"WECANN",392,80.5263137817383,52.5
"94",3,"mrro",NA,"LORA",392,80.5263137817383,52.5
"95",3,"fire",NA,"CERES",392,80.5263137817383,52.5
"96",3,"rlns",NA,"CERES",392,80.5263137817383,52.5
"97",3,"sh",NA,"FLUXCOM",392,80.5263137817383,52.5
"98",3,"albedo",NA,"CERES",392,80.5263137817383,52.5
"99",3,"et",NA,"FLUXCOM",392,80.5263137817383,52.5
"100",3,"gpp",NA,"GBAF",392,80.5263137817383,52.5
"101",3,"sh",NA,"CLASS",392,80.5263137817383,52.5
"102",3,"fsr",NA,"CERES",392,80.5263137817383,52.5
"103",3,"rlns",NA,"GEWEX",392,80.5263137817383,52.5
"104",3,"ef",NA,"WECANN",392,80.5263137817383,52.5
"105",3,"ef",NA,"CLASS",392,80.5263137817383,52.5
"106",3,"ef",NA,"GBAF",392,80.5263137817383,52.5
"107",3,"lai",NA,"MODIS",392,80.5263137817383,52.5
"108",3,"fire",NA,"GEWEX",392,80.5263137817383,52.5
"109",4,"et",221.501577665571,"CLASS",290,59.684211730957,117.5
"110",4,"lai",1.00723682728623,"AVHRR",290,59.684211730957,117.5
"111",4,"fsa",86.1398732068223,"CERES",290,59.684211730957,117.5
"112",4,"fsa",89.2587881847132,"GEWEX",290,59.684211730957,117.5
"113",4,"albedo",0.241087833342668,"GEWEX",290,59.684211730957,117.5
"114",4,"gr",6.36078466507044,"CLASS",290,59.684211730957,117.5
"115",4,"rn",32.1664472684053,"CLASS",290,59.684211730957,117.5
"116",4,"fsr",24.6734125856286,"GEWEX",290,59.684211730957,117.5
"117",4,"sw",32.5458159081363,"WangMao",290,59.684211730957,117.5
"118",4,"rn",50.1650886728412,"GEWEX",290,59.684211730957,117.5
"119",4,"gpp",0.541473890228645,"GBAF",290,59.684211730957,117.5
"120",4,"rlns",-44.3319186259231,"CERES",290,59.684211730957,117.5
"121",4,"et",302.493468266169,"FLUXCOM",290,59.684211730957,117.5
"122",4,"et",273.039704997269,"DOLCE",290,59.684211730957,117.5
"123",4,"gpp",0.524897362264766,"WECANN",290,59.684211730957,117.5
"124",4,"ef",0.425462957171971,"GBAF",290,59.684211730957,117.5
"125",4,"gpp",0.41467492109601,"FLUXCOM",290,59.684211730957,117.5
"126",4,"sh",21.8910859073618,"WECANN",290,59.684211730957,117.5
"127",4,"ef",0.680000364297066,"CLASS",290,59.684211730957,117.5
"128",4,"albedo",0.298535899491343,"CERES",290,59.684211730957,117.5
"129",4,"fire",284.875066069395,"GEWEX",290,59.684211730957,117.5
"130",4,"et",272.30994350847,"WECANN",290,59.684211730957,117.5
"131",4,"fsr",30.0379312929563,"CERES",290,59.684211730957,117.5
"132",4,"ef",0.49944611210261,"WECANN",290,59.684211730957,117.5
"133",4,"lai",0.848231486350696,"AVH15C1",290,59.684211730957,117.5
"134",4,"lai",1.54096880701171,"MODIS",290,59.684211730957,117.5
"135",4,"mrro",0.834063422857898,"CLASS",290,59.684211730957,117.5
"136",4,"et",292.920066459555,"GBAF",290,59.684211730957,117.5
"137",4,"ef",0.451845161823044,"FLUXCOM",290,59.684211730957,117.5
"138",4,"sh",8.24624029159328,"CLASS",290,59.684211730957,117.5
"139",4,"rn",41.8079535737059,"CERES",290,59.684211730957,117.5
"140",4,"rlns",-39.0936976593343,"GEWEX",290,59.684211730957,117.5
"141",4,"sh",29.0793144906218,"FLUXCOM",290,59.684211730957,117.5
"142",4,"sh",31.3906004499086,"GBAF",290,59.684211730957,117.5
"143",4,"fire",291.161551744992,"CERES",290,59.684211730957,117.5
"144",4,"mrro",1.2720422440103,"LORA",290,59.684211730957,117.5
"145",5,"albedo",0.267531550458577,"GEWEX",338,67.2631607055664,82.5
