,pct_veg,gridcell,pft,biome
10,9.152589479496584e-10,5,broadleaf_deciduous_temperate_shrub,4.0
11,0.05337818854661247,5,broadleaf_deciduous_boreal_shrub,4.0
12,23.07213743955768,5,c3_arctic_grass,4.0
13,4.207466161257361,5,c3_non-arctic_grass,4.0
14,0.0,5,c4_grass,4.0
15,0.18657873188510754,5,c3_crop,4.0
16,0.0,5,c3_irrigated,4.0
0,0.23950138983542485,6,not_vegetated,6.0
1,0.021989187077768646,6,needleleaf_evergreen_temperate_tree,6.0
2,0.0,6,needleleaf_evergreen_boreal_tree,6.0
3,0.0,6,needleleaf_deciduous_boreal_tree,6.0
4,0.0,6,broadleaf_evergreen_tropical_tree,6.0
5,60.53358571380125,6,broadleaf_evergreen_temperate_tree,6.0
6,0.0,6,broadleaf_deciduous_tropical_tree,6.0
7,4.14390622382363,6,broadleaf_deciduous_temperate_tree,6.0
8,0.0028974153450751893,6,broadleaf_deciduous_boreal_tree,6.0
9,0.0,6,broadleaf_evergreen_shrub,6.0
10,0.08950170176594385,6,broadleaf_deciduous_temperate_shrub,6.0
11,1.1481400274959697e-09,6,broadleaf_deciduous_boreal_shrub,6.0
12,0.0,6,c3_arctic_grass,6.0
13,30.119111348961113,6,c3_non-arctic_grass,6.0
14,0.0,6,c4_grass,6.0
15,4.6741807017205526,6,c3_crop,6.0
16,0.0,6,c3_irrigated,6.0
0,0.004018579474508064,7,not_vegetated,6.0
1,8.000641164157917,7,needleleaf_evergreen_temperate_tree,6.0
2,0.0,7,needleleaf_evergreen_boreal_tree,6.0
3,0.0,7,needleleaf_deciduous_boreal_tree,6.0
4,0.0,7,broadleaf_evergreen_tropical_tree,6.0
5,20.427022745193305,7,broadleaf_evergreen_temperate_tree,6.0
6,0.0,7,broadleaf_deciduous_tropical_tree,6.0
7,3.1898198817643717,7,broadleaf_deciduous_temperate_tree,6.0
8,0.0,7,broadleaf_deciduous_boreal_tree,6.0
9,0.0,7,broadleaf_evergreen_shrub,6.0
10,0.0,7,broadleaf_deciduous_temperate_shrub,6.0
11,0.0,7,broadleaf_deciduous_boreal_shrub,6.0
12,0.0,7,c3_arctic_grass,6.0
13,50.118978653433935,7,c3_non-arctic_grass,6.0
14,0.0,7,c4_grass,6.0
15,18.259465994073608,7,c3_crop,6.0
16,0.0,7,c3_irrigated,6.0
0,0.0,8,not_vegetated,6.0
1,4.0837348502797965e-08,8,needleleaf_evergreen_temperate_tree,6.0
2,7.505303266895635e-10,8,needleleaf_evergreen_boreal_tree,6.0
3,0.0,8,needleleaf_deciduous_boreal_tree,6.0
4,0.0,8,broadleaf_evergreen_tropical_tree,6.0
5,25.846399878020847,8,broadleaf_evergreen_temperate_tree,6.0
6,0.0,8,broadleaf_deciduous_tropical_tree,6.0
7,1.9504555112731845,8,broadleaf_deciduous_temperate_tree,6.0
8,3.3356903957754147e-10,8,broadleaf_deciduous_boreal_tree,6.0
9,0.0,8,broadleaf_evergreen_shrub,6.0
10,0.07954074420847948,8,broadleaf_deciduous_temperate_shrub,6.0
11,0.0,8,broadleaf_deciduous_boreal_shrub,6.0
12,0.0,8,c3_arctic_grass,6.0
13,44.52638083892258,8,c3_non-arctic_grass,6.0
14,0.0,8,c4_grass,6.0
15,25.18873645449519,8,c3_crop,6.0
16,0.0,8,c3_irrigated,6.0
0,0.012073889404636173,9,not_vegetated,5.0
1,5.431506932156582,9,needleleaf_evergreen_temperate_tree,5.0
2,0.0,9,needleleaf_evergreen_boreal_tree,5.0
3,0.0,9,needleleaf_deciduous_boreal_tree,5.0
4,0.0,9,broadleaf_evergreen_tropical_tree,5.0
5,54.076867868034185,9,broadleaf_evergreen_temperate_tree,5.0
6,0.0,9,broadleaf_deciduous_tropical_tree,5.0
7,2.4958137037176114,9,broadleaf_deciduous_temperate_tree,5.0
8,0.0,9,broadleaf_deciduous_boreal_tree,5.0
9,0.0,9,broadleaf_evergreen_shrub,5.0
10,0.03139951494049231,9,broadleaf_deciduous_temperate_shrub,5.0
11,0.0,9,broadleaf_deciduous_boreal_shrub,5.0
12,0.0,9,c3_arctic_grass,5.0
13,32.777387708292125,9,c3_non-arctic_grass,5.0
14,0.0,9,c4_grass,5.0
15,3.0060412721513785,9,c3_crop,5.0
16,3.042643239789533e-09,9,c3_irrigated,5.0
0,2.1967081271828395,10,not_vegetated,6.0
1,0.008266339746890403,10,needleleaf_evergreen_temperate_tree,6.0
2,0.0,10,needleleaf_evergreen_boreal_tree,6.0
3,0.0,10,needleleaf_deciduous_boreal_tree,6.0
4,0.0,10,broadleaf_evergreen_tropical_tree,6.0
5,7.017702326094109,10,broadleaf_evergreen_temperate_tree,6.0
6,0.0,10,broadleaf_deciduous_tropical_tree,6.0
7,0.8176600713206873,10,broadleaf_deciduous_temperate_tree,6.0
8,0.0,10,broadleaf_deciduous_boreal_tree,6.0
9,0.0,10,broadleaf_evergreen_shrub,6.0
10,0.1188863616598801,10,broadleaf_deciduous_temperate_shrub,6.0
11,0.0,10,broadleaf_deciduous_boreal_shrub,6.0
12,0.0,10,c3_arctic_grass,6.0
13,53.497910522234896,10,c3_non-arctic_grass,6.0
14,1.5993836762698286,10,c4_grass,6.0
15,32.28963439349412,10,c3_crop,6.0
16,0.3114303497086315,10,c3_irrigated,6.0
0,0.0,11,not_vegetated,6.0
1,0.0633649748782096,11,needleleaf_evergreen_temperate_tree,6.0
2,0.0,11,needleleaf_evergreen_boreal_tree,6.0
3,0.0,11,needleleaf_deciduous_boreal_tree,6.0
4,0.0,11,broadleaf_evergreen_tropical_tree,6.0
5,41.20582770607906,11,broadleaf_evergreen_temperate_tree,6.0
6,0.0,11,broadleaf_deciduous_tropical_tree,6.0
7,6.112366934981753,11,broadleaf_deciduous_temperate_tree,6.0
8,0.0,11,broadleaf_deciduous_boreal_tree,6.0
9,0.0,11,broadleaf_evergreen_shrub,6.0
10,0.06666543471044856,11,broadleaf_deciduous_temperate_shrub,6.0
11,0.0,11,broadleaf_deciduous_boreal_shrub,6.0
12,0.0,11,c3_arctic_grass,6.0
13,37.5744814652822,11,c3_non-arctic_grass,6.0
14,0.2772670460416422,11,c4_grass,6.0
15,13.321300858107463,11,c3_crop,6.0
16,1.1102230246251565e-16,11,c3_irrigated,6.0
0,5.5276974770990215,12,not_vegetated,7.0
1,0.0,12,needleleaf_evergreen_temperate_tree,7.0
2,0.0,12,needleleaf_evergreen_boreal_tree,7.0
3,0.0,12,needleleaf_deciduous_boreal_tree,7.0
4,0.0,12,broadleaf_evergreen_tropical_tree,7.0
5,6.781243607091687,12,broadleaf_evergreen_temperate_tree,7.0
6,0.0,12,broadleaf_deciduous_tropical_tree,7.0
